isClosed,status,founded_at,funding_total_usd,milestones,ca_non_ca,closed_at_year,duration_days,log_funding_total_usd
0,4,2007,7100000.0,2.0,1,0,0,15.775605342011543
1,2,2005,200000.0,2.0,1,0,0,12.206072645530174
1,2,2008,3200000.0,3.0,1,0,0,14.978661367769956
0,4,1999,1000000.0,1.0,0,0,0,13.815510557964274
0,4,2011,9000000.0,2.0,0,0,0,16.012735135300492
0,4,2010,75000.0,1.0,0,0,0,11.225243392518449
1,3,2007,4300000.0,3.0,1,2009,884,15.27412558066379
0,4,2007,4300000.0,2.0,0,0,0,15.27412558066379
0,4,2004,21100000.0,2.0,0,0,0,16.864783598446294
0,4,2010,102372.0,1.0,0,0,0,11.536368516696696
1,3,2007,50000.0,2.0,1,2012,1605,10.819778284410283
0,4,2008,26400000.0,2.0,1,0,0,17.088874568116545
0,4,2011,1175000.0,3.0,0,0,0,13.976778705560395
1,2,2002,9000000.0,1.0,1,0,0,16.012735135300492
1,3,2007,941288.0,3.0,0,2010,1256,13.755004429127268
0,4,2008,1000000.0,2.0,0,0,0,13.815510557964274
0,4,2008,74996.0,2.0,0,0,0,11.22519005776284
1,2,2003,22000000.0,1.0,1,0,0,16.90655301132259
0,4,2008,700000.0,2.0,0,0,0,13.458835614025542
0,4,2002,2500000.0,1.0,1,0,0,14.73180128983843
0,4,2008,5999999.0,3.0,0,0,0,15.607269860525648
0,4,2006,1000000.0,2.0,0,0,0,13.815510557964274
1,3,2007,450000.0,1.0,1,2008,463,13.017002861746503
0,4,2011,8700000.0,3.0,1,0,0,15.978833583624812
0,4,2011,14000000.0,2.0,0,0,0,16.454567887579532
0,4,2008,522000.0,1.0,0,0,0,13.165422866864777
0,4,2005,22500000.0,4.0,0,0,0,16.929025867174648
1,3,2011,100000.0,1.0,0,2011,70,11.512925464970229
0,4,1999,11220000.0,3.0,0,0,0,16.233208458058826
0,4,2011,7500000.0,1.0,1,0,0,15.83041357850654
1,2,2006,3500000.0,6.0,0,0,0,15.068273526459642
0,4,2009,80000.0,1.0,0,0,0,11.289781913656018
0,4,2012,1250000.0,1.0,0,0,0,14.038654109278484
0,4,2003,5000000.0,1.0,0,0,0,15.424948470398377
1,2,1999,20000000.0,1.0,0,0,0,16.811242831518264
1,2,2011,3000000.0,2.0,0,0,0,14.914122846632385
1,2,2011,500000.0,2.0,0,0,0,13.122363377404328
0,4,2007,10000000.0,1.0,1,0,0,16.11809565095832
0,4,2006,10917805.0,2.0,0,0,0,16.205905500750344
0,4,2007,6000000.0,3.0,0,0,0,15.60727002719233
0,4,2010,2100000.0,3.0,0,0,0,14.557447902693651
0,4,2006,100000.0,1.0,0,0,0,11.512925464970229
0,4,2009,81191.0,1.0,0,0,0,11.304559682568422
0,4,2009,1080450.0,3.0,0,0,0,13.892888178985618
1,3,2003,915000.0,1.0,0,2011,3072,13.726679344257658
1,2,2005,3700000.0,1.0,1,2008,1370,15.123843377614453
0,4,2001,15000000.0,1.0,0,0,0,16.523560759066484
0,4,2010,459938.0,1.0,0,0,0,13.03884697677259
0,4,2006,3650000.0,2.0,0,0,0,15.110237725558674
1,3,2011,450000.0,1.0,0,2012,305,13.017002861746503
0,4,2007,7724807.0,1.0,0,0,0,15.859947396617212
0,4,2006,2500000.0,5.0,1,0,0,14.73180128983843
0,4,2007,1600000.0,1.0,0,0,0,14.28551418721001
0,4,2011,130000.0,1.0,0,0,0,11.77528972943772
0,4,2006,12300000.0,2.0,0,0,0,16.325109820342647
1,3,2007,3750000.0,1.0,1,2010,1147,15.137266397946592
0,4,2008,1000000.0,1.0,0,0,0,13.815510557964274
1,2,2004,17000000.0,2.0,1,0,0,16.64872390202049
1,3,2004,6850000.0,2.0,1,2008,1603,15.739759210238407
0,4,2007,500000.0,3.0,1,0,0,13.122363377404328
0,4,2007,300000.0,1.0,0,0,0,12.611537753638338
0,4,1995,15000000.0,3.0,1,0,0,16.523560759066484
0,4,2006,15700000.0,2.0,1,0,0,16.569171270318538
1,2,1999,23414268.0,2.0,0,0,0,16.968856138099582
0,4,2008,736050.0,1.0,0,0,0,13.50905333018616
1,2,2007,1000000.0,3.0,1,0,0,13.815510557964274
1,3,2006,20000.0,1.0,1,2011,1854,9.903487552536127
0,4,2007,500000.0,1.0,1,0,0,13.122363377404328
0,4,2006,4219300.0,1.0,0,0,0,15.255179795475868
0,4,2002,124691.0,1.0,0,0,0,11.733593955847798
0,4,2008,19940193.0,1.0,0,0,0,16.808248001488238
1,2,2003,2000000.0,1.0,1,0,0,14.50865773852422
0,4,2010,50000.0,1.0,0,0,0,10.819778284410283
