category_code,status,founded_at,first_investment_at,last_investment_at,investment_rounds,funding_rounds,funding_total_usd,milestones,relationships,top_3_cities,usa_non_usa,ca_non_ca,first_funding_at_year,last_funding_at_year,first_milestone_at_year,last_milestone_at_year,closed_at_year,isClosed,duration_days,log_funding_total_usd
1,4,2007,0,0,1.0,2.0,5806037.0,1.0,1.0,0,1,0,2011,2012,0,0,0,0,0,15.574408796264285
0,4,2008,0,0,1.0,1.0,1500000.0,1.0,1.0,1,0,0,2008,2008,2009,2009,0,0,0,14.22097566607244
0,4,2011,0,0,1.0,2.0,100000.0,1.0,3.0,0,1,1,2012,2012,2011,2011,0,0,0,11.512925464970229
0,4,2007,0,0,1.0,1.0,10000000.0,1.0,7.0,1,1,1,2013,2013,2013,2013,0,0,0,16.11809565095832
0,2,2011,0,0,1.0,1.0,500000.0,1.0,6.0,1,1,0,2012,2012,2013,2013,0,1,0,13.122363377404328
0,4,2007,0,0,1.0,1.0,22500000.0,1.0,3.0,0,1,0,2011,2011,0,0,0,0,0,16.929025867174648
1,4,2007,0,0,1.0,3.0,22100000.0,3.0,17.0,0,1,1,2007,2012,2012,2013,0,0,0,16.911088166487982
0,4,2007,0,0,1.0,2.0,5000000.0,2.0,6.0,0,0,0,2010,2013,2013,2013,0,0,0,15.424948470398375
0,4,2011,0,0,1.0,1.0,200000.0,2.0,2.0,0,0,0,2012,2012,2010,2012,0,0,0,12.206072645530174
0,4,2009,0,0,1.0,1.0,296384.0,2.0,4.0,0,0,0,2011,2011,2009,2013,0,0,0,12.599411189840424
0,4,2004,0,0,1.0,3.0,11298100.0,3.0,19.0,0,1,0,2005,2010,2011,2012,0,0,0,16.240145127952268
0,4,2004,0,0,1.0,3.0,15500000.0,1.0,3.0,0,1,0,2011,2013,0,0,0,0,0,16.556350581889475
0,4,2007,0,0,1.0,3.0,6865000.0,2.0,9.0,0,1,0,2011,2011,2011,2012,0,0,0,15.741946597184208
0,4,2010,0,0,1.0,1.0,2750000.0,1.0,2.0,0,0,0,2011,2011,2010,2010,0,0,0,14.827111469642754
1,4,2008,0,0,1.0,2.0,6545000.0,2.0,6.0,0,1,1,2010,2013,2008,2012,0,0,0,15.694211957326138
0,4,2011,0,0,1.0,1.0,100000.0,1.0,2.0,1,1,0,2011,2011,2011,2011,0,0,0,11.512925464970229
1,4,2007,0,0,1.0,2.0,4100000.0,1.0,8.0,0,0,0,2012,2013,2013,2013,0,0,0,15.226497531674536
1,2,2008,0,0,1.0,1.0,4000000.0,3.0,15.0,1,1,1,2008,2008,2010,2012,0,1,0,15.201804919084164
0,4,2004,0,0,1.0,3.0,26000006.0,2.0,3.0,0,1,0,2008,2010,2009,2010,0,0,0,17.07360732675496
0,4,2011,0,0,1.0,1.0,700000.0,1.0,2.0,1,1,1,2011,2011,2011,2011,0,0,0,13.458835614025542
0,4,2004,0,0,1.0,1.0,500000.0,1.0,3.0,0,1,1,2007,2007,0,0,0,0,0,13.122363377404328
0,3,2008,0,0,1.0,3.0,10500000.0,3.0,8.0,0,1,1,2008,2010,2010,2010,2011,1,1096,16.166885815127753
0,4,2008,0,0,1.0,1.0,250000.0,1.0,3.0,1,1,0,2011,2011,2011,2011,0,0,0,12.429216196844383
0,1,2009,0,0,1.0,1.0,4200000.0,3.0,17.0,0,1,0,2010,2010,2010,2012,0,0,0,15.250595083253597
1,4,2005,0,0,1.0,1.0,3500000.0,1.0,3.0,0,1,1,2007,2007,0,0,0,0,0,15.068273526459642
1,4,2011,0,0,1.0,1.0,2000000.0,1.0,2.0,0,1,0,2011,2011,0,0,0,0,0,14.508657738524219
0,2,2010,0,0,1.0,1.0,20000.0,1.0,3.0,0,0,0,2011,2011,0,0,0,1,0,9.903487552536127
1,3,2011,0,0,1.0,1.0,5000.0,1.0,3.0,0,1,0,2011,2011,2011,2011,2013,1,593,8.517193191416238
0,4,2011,0,0,1.0,2.0,4400000.0,1.0,7.0,1,0,0,2011,2013,2011,2011,0,0,0,15.29711509888849
0,4,2011,0,0,1.0,1.0,200000.0,1.0,3.0,1,1,0,2009,2009,2008,2008,0,0,0,12.206072645530174
0,4,2007,0,0,1.0,1.0,1200000.0,1.0,2.0,0,0,0,2007,2007,0,0,0,0,0,13.997832114758229
1,4,2004,0,0,1.0,1.0,8600000.0,1.0,5.0,0,1,1,2008,2008,2007,2007,0,0,0,15.967272761223736
0,4,2005,0,0,1.0,1.0,2550000.0,1.0,4.0,0,1,0,2007,2007,0,0,0,0,0,14.75160391713461
0,2,2005,0,0,1.0,2.0,14000000.0,4.0,17.0,1,1,1,2008,2008,2008,2013,0,1,0,16.454567887579532
0,4,2008,0,0,1.0,1.0,220000.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,12.301382825334498
0,4,2006,0,0,1.0,1.0,2000000.0,2.0,10.0,1,1,0,2011,2011,2011,2012,0,0,0,14.508657738524219
0,4,2008,0,0,1.0,2.0,9197854.0,2.0,7.0,0,1,0,2013,2013,2012,2013,0,0,0,16.034480753940155
0,4,2005,0,0,1.0,3.0,12000000.0,3.0,2.0,0,1,0,2007,2010,2007,2010,0,0,0,16.300417207752275
0,4,2006,0,0,1.0,1.0,22000000.0,1.0,2.0,0,1,1,2011,2011,0,0,0,0,0,16.90655301132259
1,4,2008,0,0,1.0,2.0,6700000.0,3.0,7.0,1,1,1,2009,2010,2009,2012,0,0,0,15.717618084361195
0,3,2008,0,0,1.0,2.0,2300000.0,3.0,4.0,1,1,1,2007,2011,2011,2013,2013,1,2040,14.648419680899378
1,4,2011,0,0,1.0,1.0,20000.0,1.0,4.0,0,1,0,2011,2011,2011,2011,0,0,0,9.903487552536127
1,4,2007,0,0,1.0,1.0,700000.0,3.0,11.0,1,1,1,2011,2011,2008,2011,0,0,0,13.458835614025542
0,2,2011,0,0,1.0,2.0,1975000.0,2.0,6.0,0,1,0,2011,2012,1997,2013,0,1,0,14.496078956317358
0,4,2008,0,0,1.0,1.0,1000000.0,1.0,1.0,1,1,1,2008,2008,0,0,0,0,0,13.815510557964274
0,4,2005,0,0,1.0,2.0,600000.0,1.0,1.0,0,1,0,2008,2012,0,0,0,0,0,13.304684934198283
0,4,2006,0,0,1.0,2.0,5000000.0,2.0,5.0,0,0,0,2008,2012,2012,2013,0,0,0,15.424948470398375
1,4,2008,0,0,1.0,3.0,9100000.0,1.0,8.0,1,0,0,2009,2011,0,0,0,0,0,16.02378497148708
0,4,2011,0,0,1.0,3.0,1725000.0,2.0,2.0,1,1,0,2011,2013,2011,2013,0,0,0,14.360737608447597
0,4,1999,0,0,1.0,1.0,83000.0,1.0,1.0,0,1,0,2008,2008,0,0,0,0,0,11.326595886778735
0,4,2008,0,0,1.0,3.0,17000000.0,3.0,12.0,0,1,1,2009,2013,2012,2013,0,0,0,16.64872390202049
0,2,2006,0,0,1.0,3.0,3840000.0,2.0,4.0,0,0,0,2003,2008,2007,2010,0,1,0,15.160982924563909
0,4,2006,0,0,1.0,2.0,1700000.0,1.0,3.0,0,1,1,2007,2008,0,0,0,0,0,14.346138809026444
1,2,1998,0,0,1.0,2.0,6000999.0,1.0,9.0,1,1,1,2007,2010,0,0,0,1,0,15.607436513332743
1,3,2007,0,0,1.0,1.0,800000.0,2.0,3.0,1,1,1,2009,2009,2010,2010,2012,1,2004,13.592367006650065
1,4,2005,0,0,1.0,1.0,1800000.0,2.0,5.0,0,0,0,2006,2006,2008,2009,0,0,0,14.403297222866392
0,2,2007,0,0,1.0,1.0,1000000.0,2.0,13.0,0,1,0,2008,2008,2010,2011,0,1,0,13.815510557964274
1,3,2007,0,0,1.0,2.0,1500000.0,1.0,3.0,0,1,0,2007,2008,0,0,2013,1,2293,14.22097566607244
1,4,2000,0,0,1.0,1.0,35000.0,1.0,4.0,0,1,0,2000,2000,2000,2000,0,0,0,10.46310334047155
1,4,2004,0,0,1.0,1.0,2000000.0,1.0,6.0,0,0,0,2005,2005,0,0,0,0,0,14.508657738524219
0,4,2000,0,0,1.0,1.0,12000000.0,2.0,19.0,0,1,1,2011,2011,2011,2012,0,0,0,16.300417207752275
1,4,1999,0,0,1.0,1.0,22500000.0,1.0,5.0,0,1,0,2007,2007,2013,2013,0,0,0,16.929025867174648
0,2,2002,0,0,1.0,1.0,8800000.0,3.0,15.0,0,1,1,2009,2009,2009,2013,0,1,0,15.990262279448435
0,4,2011,0,0,1.0,2.0,6080000.0,1.0,7.0,0,1,1,2011,2013,2013,2013,0,0,0,15.620515253942349
0,4,2006,0,0,1.0,1.0,8300000.0,3.0,4.0,0,1,1,2008,2008,2008,2009,0,0,0,15.931766072766827
1,4,2008,0,0,1.0,1.0,1000000.0,2.0,9.0,0,1,1,2009,2009,2009,2012,0,0,0,13.815510557964274
1,4,2008,0,0,1.0,2.0,2000000.0,2.0,4.0,0,1,0,2008,2009,2010,2011,0,0,0,14.508657738524219
1,4,2002,0,0,1.0,1.0,500000.0,1.0,1.0,0,1,0,2002,2002,0,0,0,0,0,13.122363377404328
0,3,2007,0,0,1.0,1.0,2000000.0,1.0,3.0,0,0,0,2008,2008,0,0,2012,1,1886,14.508657738524219
0,4,2000,0,0,1.0,1.0,11600000.0,1.0,14.0,0,1,0,2012,2012,2012,2012,0,0,0,16.266515656076592
0,4,1999,0,0,1.0,1.0,1000000.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,13.815510557964274
1,3,2003,0,0,1.0,3.0,9100000.0,1.0,3.0,0,1,0,2006,2008,0,0,2010,1,2671,16.02378497148708
0,4,2008,0,0,1.0,2.0,200000.0,2.0,1.0,1,1,1,2008,2009,2009,2010,0,0,0,12.206072645530174
0,4,2006,0,0,1.0,2.0,11000000.0,1.0,12.0,0,1,0,2011,2011,2011,2011,0,0,0,16.213405830762646
0,4,2010,0,0,1.0,1.0,4300000.0,2.0,3.0,1,1,0,2012,2012,2011,2012,0,0,0,15.27412558066379
1,4,2010,0,0,1.0,1.0,93359.0,1.0,4.0,0,0,0,2011,2011,0,0,0,0,0,11.444207555677707
0,4,2008,0,0,1.0,2.0,21827665.0,3.0,4.0,0,1,0,2010,2012,2008,2012,0,0,0,16.89868875991009
1,2,1999,0,0,1.0,1.0,2970000.0,1.0,3.0,0,0,0,2007,2007,0,0,0,1,0,14.904072510778882
0,4,2005,0,0,1.0,3.0,14000000.0,2.0,13.0,1,1,0,2005,2008,2011,2013,0,0,0,16.454567887579532
1,4,2004,0,0,1.0,1.0,80000.0,1.0,3.0,0,0,0,2006,2006,0,0,0,0,0,11.289781913656018
0,3,2003,0,0,1.0,1.0,891177.0,1.0,6.0,1,0,0,2008,2008,0,0,2013,1,3817,13.700298339922666
0,4,2007,0,0,1.0,1.0,314169.0,1.0,4.0,0,1,0,2011,2011,0,0,0,0,0,12.657686336664316
0,4,2001,0,0,1.0,2.0,10000000.0,4.0,7.0,0,1,1,2007,2012,2011,2013,0,0,0,16.11809565095832
1,2,2007,0,0,1.0,3.0,10400001.0,3.0,21.0,0,1,0,2008,2010,2010,2013,0,1,0,16.15731646026544
0,3,2006,0,0,1.0,1.0,98000.0,1.0,2.0,0,0,0,2006,2006,0,0,2010,1,1334,11.49272275765271
